UNIT,"NAB
(v2)","Unsolved
Mysteries","Ancient 
Civilizations","Ocean
Life","Renaissance
+ Revival","Sports
+ PE",Botany,"Indigenous
Peoples",Asia,Growing Up With God,TOTALS
Physical Science,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours
Chemistry,0.5,0.5,4,3,0.5,,1.5,,2,,12
Physics,3,1.5,,,1,4.5,1,,,,11
Astronomy,,,,1,3.5,0.5,,,,,5
,,,,,,,,,,,
Earth Science,,,,,,,,,,,
Geology,,,,3,1,0.5,,,4,,8.5
Environmental Science,,,4,12,,,3.5,1,4,,24.5
Oceanography,,,,15,2,,,,,,17
Meteorology,,,,,1,,,,1,,2
Paleontology,,,,,,,0.5,,,,0.5
,,,,,,,,,,,
Life Science,,,,,,,,,,,
Biology,2.5,3.5,0.5,0.5,,,8.5,,0.5,,16
Botany,1.5,,,,,,35.5,,,,37
Marine Biology,,0.5,,32.5,,,,,,,33
Anatomy + Physiology,2,2,,0.5,,4.5,,,,2,11
Zoology,39.5,,,,0.5,3,,,6.5,,49.5
,,,,,,,,,,,
"Language
Arts",,,,,,,,,,,
English + Composition,30.5,27,36,22,24.5,24.5,25.5,19.5,26,,235.5
American Literature,0.5,,,,0.5,20,,20,,,41
British Literature,,,,,7.5,,10,,,,17.5
Classical Literature,1,,20,,0.5,1,,,,,22.5
,,,,,,,,,,,
History,,,,,,,,,,,
US History,3,3,,1,0.5,3.5,2.5,18.5,,,32
World History,1,17,42.5,3,35,7,3.5,1,20.5,,130.5
Government (Civics),2.5,,7,1,1.5,,1,,,,13
Economics,3.5,,1,1,,,2.5,,9,,17
,,,,,,,,,,,
Bible,3,24,13.5,4.5,17.5,4.5,6,4,19.5,4,100.5
,,,,,,,,,,,
"Physical
Education",,,2,1,,26,,,,,29
,,,,,,,,,,,
Fine Arts,,,,,,,,,,,
Visual Arts,13,2.5,9,13.5,12.5,1,12,2,6.5,,72
Media Arts,4,1,5,3,,0.5,3,,,,16.5
Performing Arts,,,,,5.5,1,,,,,6.5
Music,,,,,,,,,,,
,,,,,,,,,,,
Electives,,,,,,,,,,,
Culinary Arts,1,,,,,,,,,,1
Business + Marketing,,,,,,,,,,,
Career + Technology,2,2,1.5,1.5,,3.5,1,,,,11.5
Home Economics,1,,,,,,5.5,,,,6.5
,,,,,,,,,,,
"Social Science
Electives",,,,,,,,,,,
Geography,22,4,10,11,7.5,9.5,1,4,25.5,,94.5
Psychology,4,5,,1,0.5,3,3.5,,,,17
Sociology,,,,,3,3,0.5,1.5,1,,9
Philosophy,,0.5,6.5,,1.5,,,,,,8.5
Ethics,,,,2.5,,,,0.5,,,3
World Religions,,,3,,,,,,,,3
Criminology,,9,,,,,,,,,9
Current Events,,,,,1,,,,,,1
,,,,,,,,,,,
Language Arts Electives,,,,,,,,,,,
Creative Writing,,19,0.5,2.5,3.5,,,,,,25.5
Journalism,,,,,,5,,,,,5
Debate/Public Speaking,7.5,3,,3,,,,,,,13.5
Foreign Language,,,2,,0.5,,,,,,2.5
,,,,,,,,,,,
Science Electives,,,,,,,,,,,
Forensics,,17,,,,,,,,,17
"Engineering (architecture, robotics, materials, etc.)",5.5,3,7,,6,2.5,0.5,,,,24.5
Agriculture,,,0.5,,,,1,,,,1.5
Archeology,,,2.5,,,,,,,,2.5
Computer Science,,1,,,,,,,,,1
Veterinary Science,0.5,,,,,,,,,,0.5
Health,5,,,,,21,5,,,8,39
,,,,,,,,,,,
Math Electives,,,,,,,,,,,
Statistics,,,,0.5,,1,,,,,1.5
Personal Finance,,,1,,,,,,,,1
Problem-solving/Logic,,,,0.5,1.5,1.5,,,,,3.5
Accounting,,,,,,,,,,,
,,,,,,,,,,,
TOTALS,159.5,146,179,140,140,152,134.5,72,126,14,
TOTALS WITH EXTRAS,209.5,186,199,190,179,212,154.5,82,146,,
,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,,
,"(1 hour per day; choose your books; add to the appropriate category under Language Arts)

American Literature:
- My Side of the Mountain by Jean Craighead
- To Kill a Mockingbird by Harper Lee*
*Contains sensitive subject matter.

British Literature:
- The Silver Chair: Chronicles of Narnia, Book 6by C.S. Lewis
- The Eagle of the Ninth: The Roman Britain Trilogy, Book #1","(1 hour per day; add to the appropriate category under Language Arts)

American Literature:
- Left Behind series by Tim LaHaye and Jerry B. Jenkins
- The Case for Christ Student Edition by Lee Strobel

British Literature
- The Extraordinary Cases of Sherlock Holmes by Sir Arthur Conan Doyle","(1 hour per day; already added to Classical Literature)

The Odyssey by Homer","(1 hour per day; choose your books; add to the appropriate category under Language Arts)

Classical Literature:
20,000 Leagues Under the Sea by Jules Verne

American Literature:
Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board by Bethany Hamilton

Island of the Blue Dolphinsby Scott O'Dell","(1 hour per day; choose your book)

British Literature
Animal Farmby George Orwell
The Essays by Francis Bacon

American Literature
The Giant: A Novel of Michelangelo's David by Laura Morelli","(1 hour per day; choose your books)

- Joni: An Unforgettable Story by Joni Eareckson Tada
- Beneath the Surface: My Story by Michael Phelps
- Heart of a Champion: True Stories of Character and Faith from Today's Most Inspiring Athletes by Steve Riach","The Secret Garden by Frances Hodgson Burnett

Complete a book report or essay

(hours have been added to final total)","(1 hour per day; choose your books)

- Julie of the Wolves by Jean Craighead George
- The Birchbark House by Louise Erdich
- The Sign of the Beaver by Elizabeth George Speare
- Pemmican Wars: A Girl Called Echo by Katherena Vermette, Scott B. Henderson, and Donovan Yaciuk","Choose your book, read 1 hour per day and assign 20 hours to appropriate category:

Classical Literature:
- The Hiding Place by Corrie Ten Boom
American Literature:
- Sadako and the Thousand Paper Cranes by Pam Gelman
British Literature:
- God's Adventurer: Hudson Taylor by Phyllis Thompson",,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Optional Chemistry Lab,,,,,,,,
,,,"Study the mummification process of an apple or other fruit and complete a lab report.

Add 10 hours for Chemistry",,,,,,,,
,,,,,,,,,,,
,,,,,,,Optional Biology Lab,,,,
,,,,,,,"Germination + Plant Growth Experiment: study the process under different conditions and complete lab report

Add 10 hours for Botany",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Optional LA Addition,,,,,,
,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,
,,,,,,Optional Physics Lab,,,,,
,,,,,,"Perform another experiment to demonstrate kinetic energy
Complete lab report
Add 10 hours to Physics

Perform another friction experiment
Complete lab report
Add 10 hours to Physics",,,,,
,,,,,,,,"Add 10 hours to Visual Arts, Performing Arts, or Media Arts depending on the format chosen for unit project",,,
,,Optional LA Addition,,,,,,,,,
,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,,,,
,,,,Optional Labs,,,,,,,
,Optional Biology Lab,,,"Water quality sampling + testing
Complete lab report
Add 10 hours for Biology or Marine Biology

Dissection + study of a fish or squid
Complete lab report
Add 10 hours for Marine Biology

Salinity + Density Experiment
Complete lab report
Add 10 hours for Chemistry",,,,,,,
,"Dissect owl pellets, observe and categorize the bones, and complete a lab report.

Add 10 hours for Biology",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Optional LA Addition,,,,,
,,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,
,Optional LA Addition,,,,,,,,,,
,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Optional PE Addition,,,,,
,,,,,,Add 65 hours to Physical Education if using the Family Fitness Plan,,,,,
,,,,,,,,,,,
,,,,Optional LA Addition,,,,,,,
,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,,